start,goal,distance,goal_risk_t150,std_late_risk,risk_late_risk,risk_reduction_pct_late,std_early_risk,late_interference_score,path_length_increase_pct_late,std_smoke_t150,risk_smoke_t150,smoke_reduction_t150
"(188, 91)","(83, 37)",118.07201192492656,0.16102,55.899286127859696,48.6691822273195,12.934161420241779,1.7608824628063323e-09,55.899286126098815,2.2629472929467975,81.02975599999999,76.37029267000001,4.65946332999998
"(162, 31)","(72, 104)",115.88356225108029,0.224166,55.2447987524,40.420899304600006,26.833113311243622,2.4625254079255462e-08,55.24479872777475,1.8556360781766321,83.87726699999997,68.00135746000001,15.875909539999967
"(56, 60)","(162, 167)",150.6154042586614,0.000733828,80.74084043480354,8.5833730162492,89.36923003274894,4.4233050756182895,76.31753535918526,19.304889139947335,105.969345,15.468991930000003,90.50035307
"(162, 90)","(48, 172)",140.42791745233566,0.0,104.61332941353476,97.76570396198599,6.5456529200788705,24.325676800283198,80.28765261325157,1.1336877678924089,72.34071670000002,67.97173769999999,4.368979000000024
"(185, 87)","(10, 154)",187.38729946290383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(35, 8)","(167, 152)",195.34584715319647,0.32859,87.02131285760535,12.947725959845652,85.12120130727943,4.423305075414821,82.59800778219054,26.96217753463089,106.11852325999999,19.703669930000004,86.41485332999999
"(96, 126)","(26, 177)",86.6083136886985,0.0,11.863573023332584,4.561832856816179,61.547563724316184,0.0,11.863573023332584,3.052472925183486,21.334465,9.51554133,11.818923670000002
"(16, 154)","(46, 35)",122.723265927859,0.0,2.94351625972928e-26,2.94351625972928e-26,0.0,0.0,2.94351625972928e-26,0.0,0.0,0.0,0.0
"(110, 92)","(42, 188)",117.64352935882194,0.0,21.32598505591925,13.74711663980664,35.53818684689088,0.7610483815716654,20.564936674347585,1.2048854374415157,41.408246,26.369234,15.039012
"(27, 127)","(133, 6)",160.86329600005092,0.482982,40.687107036140766,20.579989128669887,49.41889304051653,6.203448e-32,40.687107036140766,9.75955240126055,72.13270529999998,34.269167,37.86353829999998
"(46, 67)","(151, 188)",160.20611723651504,0.0,0.0001995961442238882,0.00018975693803959518,4.929557242977759,0.0,0.0001995961442238882,0.0,0.0,0.0,0.0
"(98, 137)","(161, 15)",137.3062270984095,0.454995,101.38577357900002,48.9588725346,51.71031318664138,5.28866826060724,96.09710531839278,9.416906584070095,111.82128,84.60753186,27.213748140000007
"(150, 156)","(18, 138)",133.2216198670471,0.0,19.50889442331019,16.243660290615928,16.737156200880342,0.0,19.50889442331019,3.186914214025895,28.704366,25.9436767,2.7606892999999992
